svznr,zstart,klasse,nummer,gpsx1,gpsy1,RI,RII,DTV2024,DTVSV
73201405,TM,K,1050,9.074838,48.62440300000004,K 1050/K 1062 bei Weil im Schönbuch,"L 1208/K 1050 Waldenbuch, Kreisverkehr",1782,34
73201412,TM,K,6947,9.093193650083956,48.61235141352397,K 1062/K 6947 Kreisgrenze westl. Dettenhausen,L 1208/K 6947 Dettenhausen,3477,77
73201413,TM,K,1057,9.054070999999992,48.67478799999997,K 1055/K 1057 bei Böblingen,"K 1051/K 1057 bei Schönaich, Kreisverkehr",12658,428
73211001,MZ,A,8,9.210490000000004,48.69288000000002,AS Stuttgart-Degerloch (52b),AS Stuttgart-Plieningen (53b),116169,13346
73211002,DZ,A,8,9.325364000000066,48.68425200001069,AS Esslingen (54),AS Wendlingen (55),107622,13788
73211069,MZ,A,8,9.280356000000005,48.694910999999976,AS Stuttgart-Plieningen (53b),AS Esslingen (54),90606,12564
73211101,TM,L,1208,9.167292999999995,48.69487,L 1208/K 1226 Echterdingen,B 27/L 1208 Echterdingen,11991,252
73211102,MZ,B,297,9.286238999999997,48.61772899999998,B 297/B 312 Neckartailfingen,B 297/K 1230 Neckarhausen,12486,926
73211103,MZ,B,297,9.318502999999994,48.62137699999997,B 297/K 1230 Neckarhausen,B 297/B 313 Nürtingen Wöhrtbrücke  Südseite,18480,955
73211104,MZ,L,1205,9.217802000000042,48.68644900001071,B 312/ L 1205 bei AS Stuttgart-Plieningen,B 312/L 1205 Bernhausen,13350,713
73211105,MZ,L,1209,9.217162000000044,48.67830400001073,B 312/ K 9515 Bernhausen (Filterstadt),B 27/K 1224/K 1225 ,9417,324
73211106,TM,B,312,9.249278,48.621752999999984,B 312/K 1228/K 1256 AS Neckartailfingen,B 312/K 1228 AS. Aich/Süd,28371,1735
73211107,TM,B,313,9.323263999999998,48.610746000000006,B 297/K 1231 bei Raidwangen,B 297/B 313 Nürtingen Wöhrtbrücke  Südseite,21113,778
73211108,MZ,B,313,9.330308000000066,48.63020800001072,B 297/B 313 Nürtingen Wöhrtbrücke  Nordseite,B 313/K 1220 Abzw. Zizishausen,33331,1647
73211109,DZ,B,27,9.179716000000004,48.68393600000003,B 27/B 312 Verflechtung,B 27/L 1208 Echterdingen,82092,4785
73211110,MZ,B,27,9.22657300000005,48.62914800001069,B27/B464 bei Gniebel,B 27/B 312 Verflechtung,34949,1055
73211111,TM,K,9515,9.206743000000008,48.69263500000003,K 1272 / GV-Straße 30 Messe Stuttgart,B 312/ K 9515 Bernhausen (Filterstadt),10552,1066
73211200,TM,L,1185,9.218119999999995,48.62324300000002,L 1185/L 1209 Burkhardtsmühle,L 1185/K 1228 Aich,6761,207
73211201,TM,L,1185,9.280736000000005,48.63274700000002,L 1185/K 1228 Aich,L 1185/L 1205 Oberensingen Abzw. Aichtal,5146,166
73211202,MZ,L,1192,9.180344000000002,48.694155,L 1192/L 1208 Echterdingen Mitte,B 27/GV-Straße 30 Messe Stuttgart,8327,199
73211203,TM,L,1200,9.317818999999997,48.693883,L 1192/L 1200 Umfahrung Nellingen,L 1200/L 1204 Denkendorf,7256,189
73211204,TM,L,1200,9.347954,48.68610799999995,L 1200/L 1204 Denkendorf,L 1200/K1266 Köngen Kreisverkehr,8625,259
73211205,TM,L,1202,9.286022,48.66357999999999,L 1202/L 1205 Wolfschlugen,L 1202/L 1204 Neuhausen,6254,121
73211206,TM,L,1202,9.278442000000066,48.686165000010746,L 1202/L 1205 Wolfschlugen,L 1202/L 1204 Neuhausen,8182,175
73211208,TM,L,1205,9.230445000000003,48.67669000000004,B 312/L 1205 Bernhausen,L 1205/K 1225 Sielmingen,7931,297
73211209,TM,L,1205,9.306812000000006,48.64498699999998,L 1202/L 1205 Wolfschlugen,L 1185/L 1205 Oberensingen Mitte,8913,310
73211211,TM,L,1208,9.182357,48.68273300000002,L 1192/L 1208 Echterdingen,L 1208 A/L1209 Bernhausen,10997,299
73211212,TM,L,1209,9.183010023296443,48.64512705508778,L 1185/L 1209 Burkhardtsmühle,B 312/L 1209 Bernhausen,5380,153
73211213,TM,L,1209,9.233385999999998,48.680956,L 1205/L 1209 Bernhausen,L 1209/K 1225 Sielmingen,6893,212
73211214,TM,L,1209,9.261437000000054,48.68565900001073,L 1209/K 1225 Sielmingen,L 1204/L 1209 Umfahrung Neuhausen,9878,569
73211215,TM,K,1256,9.212559000000008,48.60287100000005,K 6764/K 6717 südl. Häslach,K 1256 Ende/B 312 Seitenarm bei AS Neckartailfingen,2908,119
73211216,TM,L,1204,9.301163999999998,48.68987400000002,L 1202/L 1204 Neuhausen,L 1200/L 1204 Denkendorf,6659,349
73211217,TM,L,1205,9.282543961415502,48.65946266631853,L 1205/K 1225 Sielmingen,L 1202/L 1205 Wolfschlugen,4767,170
73211401,TM,K,1226,9.166965,48.67847199999997,L 1208/K 1226 Echterdingen,L 1209/K 1226 Plattenhardt,6461,243
73211405,TM,K,1222,9.276519000000002,48.638406,L 1185/K 1222 Grötzingen Abzw. Wolfschlugen,L 1205/K 1222 Wolfschlugen,1910,16
73211411,TM,K,1225,9.230595000000005,48.64773300000001,Beginn K 1225 bei Aich,B 27/K 1224/K 1225 ,5683,224
73211413,TM,K,1257,9.26604500000006,48.60436100001065,K1228/K 1257 Neckartailf. Rathaus,K 1231/K 1257 Abzw. Altdorf,2887,125
73221001,MZ,A,8,9.4488460000001,48.63271900001069,AS Kirchheim (Teck)-West (56),AS Kirchheim (Teck)-Ost (57),96937,13395
73221067,MZ,A,8,9.364814999999997,48.66696300000003,AS Wendlingen (55),AS Kirchheim (Teck)-West (56),77704,12922
73221101,MZ,B,297,9.348195999999993,48.62509,B 297/L 1250 Nürtingen,B 297/K 1243 Nürtingen,16706,424
73221102,TM,B,297,9.405270000000003,48.6341,B 297/K 1243 Nürtingen,B 297/L 1200A Kirchheim unter Teck,11474,363
73221105,TM,B,297,9.462618,48.64894800000003,B 297/L 1200 Kirchheim,"B 297/L 1200 Kirchheim \""Schlierbacher Dreieck\""",17501,704
73221106,TM,B,297,9.476818000000108,48.65791600001071,"B 297/L 1200 Kirchheim \""Schlierbacher Dreieck\""",B297/L 1152 AS. Schlierbach,11983,552
73221107,MZ,B,297,9.34132100000007,48.62458300001066,B 297/B 313 Nürtingen Wöhrtbrücke  Südseite,B 297/L 1250 Nürtingen,19726,527
73221108,MZ,B,313,9.336998000000076,48.65288700001071,B 313/K 1220 Abzw. Zizishausen,AS Wendlingen A 8/B 313 (055),39348,1719
73221109,MZ,B,313,9.37675,48.684082999999966,AS Wendlingen A 8/B 313 (055),"B 10/B 313 \""Plochinger Dreieck\""",57489,3513
73221110,MZ,B,465,9.455705000000004,48.62920000000002,B 465/K 1250 Dettingen,AS Kirchheim (Teck)-Ost A 8 (057),27854,1125
73221111,MZ,B,297,9.455731000000092,48.63207500001068,AS Kirchheim (Teck)-Ost A 8 (057),"B 297 Kirchheim AS. \""Hochhaus\""",23541,817
73221112,MZ,B,297,9.459564999999994,48.637965999999984,"B 297 Kirchheim AS. \""Hochhaus\""",B 297/L 1200 Kirchheim,19462,980
73221113,TM,B,465,9.453550000000003,48.60996999999999,B 465/L 1210 Owen,B 465/K 1250 Dettingen,17067,710
73221200,MZ,L,1200,9.367260000000009,48.676648,L 1200/K1266 Köngen Kreisverkehr,B 313/L 1200 AS. Wendlingen,14203,366
73221201,TM,L,1200,9.402199999999995,48.665066,B 313/L 1200 AS. Wendlingen,"B 297/L 1200 Kirchheim \""Schlierbacher Dreieck\""",9151,351
73221203,TM,L,1207,9.425179000000089,48.68571100001071,B 313/L 1207 AS. Wernau,L 1207/K 1205 Abzw. Ötlingen-Notzingen,14407,315
73221204,TM,L,1207,9.430297000000005,48.67209999999998,L 1207/L 1250/K 1266 Wernau,L 1200/L 1207 Kirchheim,8953,184
73221206,TM,K,1265,9.496072,48.64213399999999,L 1200/K 1265 Jesingen,K 1421/K 1445 Zell u. A.; Kreisverkehr,2379,83
73221207,TM,L,1250,9.349662000000066,48.60654500001062,L 1250/K 1439 Frickenhausen,B 297/L 1250 Nürtingen,14087,313
73221208,MZ,L,1250,9.365230000000006,48.66000999999998,B 297/L 1250 Nürtingen Steinengrabenstraße,L 1200/L 1250 Wendlingen,6832,360
73221211,TM,L,1201,9.457574000000006,48.66126399999999,L 1201 Auffahrt zur L 1200,L 1201/K 1205 Notzingen,6639,191
73221212,TM,L,1201,9.45361,48.68288300000003,L 1201/K 1205 Notzingen,L 1201/K 1207 Hochdorf,6086,156
73221213,MZ,L,1201,9.461671999999997,48.69514900000002,L 1201/K 1207 Hochdorf,L 1192/L 1201 Querspange Reichenbach,11890,313
73221403,TM,K,1205,9.446628264535624,48.669422560879504,L 1207/K 1205 Abzw. Ötlingen-Notzingen,L 1201/K 1205,3468,94
73221412,TM,K,1250,9.460798000000004,48.618191999999965,B 465/K 1250 Dettingen,K 1250/K 1253 Abzw. Diepoldsburg,10785,358
73221414,TM,K,1266,9.39108200000008,48.69119200001071,L 1200/K1266 Köngen Kreisverkehr,L 1207/L 1250/K 1266 Wernau,3502,71
73221415,TM,K,1219,9.363349384733882,48.65958145674339,L 1250/K 1219 Zizishausen,B 313/L 1200 AS. Wendlingen,4415,208
73221416,TM,K,1243,9.386013000000004,48.60635399999997,B 297/K 1243 Nürtingen,L 1210/K1243 Abzw. Tiefenbachtal,2249,61
73231411,TM,K,1422,9.498122999999998,48.69076399999998,L 1201/K 1207 Hochdorf,L 1152/K 1422 Roßwälden,4962,102
74191208,TM,L,1184,8.956914999999995,48.62023800000003,L 1184/K 1045 bei Hildrizhausen,L 1184/K 1000 Hildrizhausen,4621,92
