Datum;Argentinierstraße;Donaukanal;Langobardenstraße;Lassallestraße;Liesingbach;Neubaugürtel ;Opernring Innen;Opernring Außen;Opernring;Wienzeile;Margaritensteg ;Operngasse;Praterstern;Pfeilgasse;Praterbrücke;Friedrich-Engels-Platz;Kraftwerk Freudenau;Maria-Restituta-Platz;Steinitzsteg;Herndlgasse
20250923;5019;1531;935;3643;859;2375;3861;2569;6430;2013;0;5888;4372;2568;2813;772;363;771;2062;1305
20250924;2238;502;383;1284;320;957;1549;1035;2584;815;0;2480;3460;1234;927;298;97;263;739;596
20250925;3015;579;527;1779;439;1305;2125;1410;3535;1109;0;3536;2301;1531;1089;400;173;349;872;830
20250926;2145;559;459;1518;344;1042;1691;1126;2817;885;0;2720;1808;1150;973;322;147;309;766;717
20250927;2560;2034;652;2839;718;1393;2311;1562;3873;1037;0;2865;2668;1371;2747;627;678;687;2249;1040
20250928;2600;2417;668;3122;940;1189;2089;1427;3516;1122;0;2809;2898;1146;3129;742;871;838;2740;1024
20250929;4728;1773;1021;3673;880;2312;3761;2501;6262;1961;0;5703;4183;2487;2849;764;469;759;2262;1396
20250930;5103;1534;996;3652;761;2343;3805;2535;6340;1988;0;5804;4379;2618;2970;760;446;720;2158;1321
20251001;4429;1103;766;2744;602;1887;4359;3046;7405;1532;0;5329;3538;2278;2087;640;260;540;1491;1141
20251002;4614;1167;914;3319;696;2138;4603;3212;7815;1740;0;5624;3813;2404;2300;626;305;640;1628;1347
20251003;4006;1493;891;2919;711;1967;3896;2761;6657;1599;0;4787;3486;2070;2564;638;448;665;1886;1334
20251004;2183;1416;496;2035;547;1284;2920;1986;4906;1040;0;2638;2204;1127;1967;462;467;568;1660;885
20251005;1837;1133;458;1631;417;921;2118;1403;3521;903;0;2036;1762;792;1530;409;266;396;1238;742
20251006;3084;566;615;1661;456;1237;2885;2011;4896;1005;0;3525;2212;1538;1320;376;129;326;861;813
20251007;4178;1052;810;2770;652;2110;4250;2967;7217;1714;0;5187;3443;2353;2247;584;298;559;1606;1170
20251008;4760;1677;1001;3614;850;2306;4753;3322;8075;1873;0;5808;4210;2734;2912;820;648;744;2269;1399
20251009;3550;736;563;2166;497;1691;3634;2540;6174;1372;0;4440;2779;1975;1291;442;127;425;930;1045
20251010;3837;1286;779;2552;696;1737;3865;2707;6572;1410;0;4727;3241;2004;1996;534;322;525;1527;1224
20251011;2455;1479;525;2232;610;1357;3127;2146;5273;1096;0;2828;2169;1210;2083;403;440;500;1582;941
20251012;2207;1943;564;2400;697;1142;2542;1663;4205;1126;0;2436;2297;1034;2547;593;756;704;2190;935
20251013;4569;1121;882;2903;719;2072;4404;3054;7458;1683;0;5366;3807;2421;2171;622;332;564;1677;1289
20251014;5195;1594;971;3553;870;2339;4983;3452;8435;1900;0;6073;4266;2736;2995;723;556;743;2220;1341
20251015;4448;896;765;2735;661;1886;4320;2997;7317;1526;0;5267;3429;2357;2017;558;220;567;1463;1160
20251016;4922;1444;945;3402;811;2235;4838;3357;8195;1816;0;5898;4157;2594;2883;803;551;803;2224;1426
20251017;4048;1039;746;2695;653;1784;3814;2649;6463;1449;0;4652;3287;2112;2059;526;370;569;1506;1257
20251018;2145;1071;402;1677;453;1224;2782;1913;4695;992;0;2518;1848;1165;1546;383;259;425;1271;849
20251019;2193;1696;530;2421;555;1139;2282;1497;3779;1123;0;2188;2399;1023;2486;543;644;676;2042;919
20251020;4489;1062;788;2778;704;2002;4355;3020;7375;1631;0;5310;3638;2316;2161;592;303;619;1622;1224
20251021;4986;1308;868;3124;782;2292;4914;3419;8333;1865;0;5999;3950;2616;2768;678;437;710;1942;1282
20251022;5043;1261;910;3377;796;2199;4933;3441;8374;1788;0;6022;4112;2627;2551;683;489;706;1988;1328
20251023;4193;1270;766;2725;649;1856;4003;2771;6774;1509;0;4877;3445;2255;2351;578;441;640;1891;1204
20251024;3022;697;640;1940;464;1522;3295;2315;5610;1238;0;4034;2479;1775;1394;407;160;443;1045;1066
20251025;1918;1136;440;1661;496;1045;2492;1699;4191;847;0;2252;1790;1014;1516;384;480;388;1401;761
20251026;2010;1336;417;1894;490;891;2430;1592;4022;870;0;2330;1957;972;1793;379;452;533;1619;779
20251027;2986;597;462;1661;467;1236;2949;2076;5025;1002;0;3615;2195;1350;1196;372;148;289;934;731
20251028;3536;811;637;2315;504;1607;3798;2664;6462;1305;0;4651;2918;1833;1775;463;215;439;1276;905
20251029;4222;1574;748;3256;844;1987;4249;2977;7226;1617;0;5197;3809;2123;3056;701;703;855;2405;1126
20251030;3843;1069;667;2653;605;1781;3969;2745;6714;1449;0;4831;3188;1913;2157;567;367;489;1626;1077
20251031;3229;1307;723;2511;673;1630;3176;2228;5404;1323;0;3885;2824;1702;2424;557;586;657;1959;1058
20251101;1818;1235;524;1687;572;1124;1500;511;2011;832;0;2090;1893;814;2021;484;594;563;1698;816
20251102;1955;1427;573;2039;645;981;1504;534;2038;924;0;2191;2104;953;2189;444;688;609;1901;839
20251103;2950;483;564;1872;406;1388;2479;1128;3607;1131;0;3866;2290;1615;1188;362;125;354;819;947
20251104;4703;1457;952;3371;766;2259;3778;1700;5478;1834;0;5880;4127;2632;2945;776;527;801;2316;1228
20251105;4617;1173;854;3240;676;2155;3720;1678;5398;1758;0;5793;3959;2654;2608;713;456;740;1996;1285
20251106;4535;1122;849;3000;651;2094;3555;1605;5160;1704;0;5537;3676;2518;2205;665;299;659;1784;1211
20251107;3671;1071;738;2517;648;1844;2964;1422;4386;1499;0;4625;3083;2016;1960;525;315;620;1616;1186
20251108;2081;1166;481;1648;400;1213;1720;872;2592;899;0;2397;1847;1087;1595;352;401;401;1427;919
20251109;1641;1115;355;1652;443;855;1359;728;2087;804;0;1962;1702;923;1651;359;429;462;1270;706
20251110;4186;937;782;2747;627;1975;3302;1505;4807;1611;0;5143;3355;2198;1896;569;258;520;1472;1180
20251111;4594;1107;814;3057;666;2083;3609;1698;5307;1693;0;5625;3740;2620;2316;621;355;648;1785;1141
20251112;4116;898;712;2732;532;1906;3236;1609;4845;1549;0;5044;3341;2381;1896;537;255;536;1374;1116
20251113;3858;768;643;2452;481;1704;2905;1382;4287;1384;0;4524;2997;2156;1581;488;158;469;1167;1046
20251114;3051;623;544;1856;450;1410;2458;1139;3597;1148;0;3831;2275;1690;1206;377;136;404;1013;916
20251115;1836;555;351;1244;255;994;1421;697;2118;738;0;1988;1393;944;902;260;212;207;721;735
20251116;1762;993;337;1552;406;811;1358;748;2106;762;0;1972;1581;779;1430;375;345;392;1373;676
20251117;1740;272;295;960;257;757;1292;582;1874;613;0;2008;1171;913;621;193;66;178;433;472
20251118;3869;870;729;2497;499;1778;3082;1450;4532;1447;0;4794;3152;2227;1912;551;264;586;1433;1050
20251119;3715;759;639;2310;471;1702;2999;1419;4418;1379;0;4671;3012;2245;1795;596;222;538;1313;1063
20251120;3507;594;596;2072;333;1609;2776;1276;4052;1306;0;4317;2707;1994;1350;452;164;450;1099;1038
20251121;2723;451;482;1550;295;1250;2221;926;3147;1020;0;3460;2022;1528;1026;312;114;318;779;883
20251122;1430;361;234;793;204;773;1214;567;1781;566;0;1690;995;822;624;180;86;226;503;557
20251123;951;194;157;539;112;426;720;331;1051;402;0;1036;772;413;428;114;57;94;244;339
20251124;2591;375;361;1310;262;1151;2107;874;2981;938;0;3289;1808;1317;858;342;81;238;591;679
20251125;2358;285;385;1204;198;939;1889;846;2735;763;0;2934;1626;1287;792;287;51;221;543;580
20251126;2860;396;471;1548;266;1243;2357;1125;3482;1008;0;3671;2074;1681;1065;372;113;306;747;787
20251127;3209;536;540;1811;318;1413;2544;1258;3802;1149;0;3960;2481;1829;1273;470;165;378;927;935
20251128;2718;596;481;1637;321;1311;2156;936;3092;1063;0;3362;2103;1567;1353;447;207;407;994;909
20251129;1560;460;310;1040;214;877;1440;679;2119;647;0;2008;1167;879;816;226;153;255;576;629
20251130;1457;525;273;950;179;651;1159;592;1751;614;0;1673;1102;667;947;219;207;297;719;544
20251201;3195;632;568;1692;342;1393;1963;1107;3070;1232;0;3931;2375;1789;1305;470;184;395;993;899
20251202;3284;501;505;1666;289;1399;2083;1229;3312;1231;0;4181;2367;1838;1187;429;125;357;890;830
20251203;3267;507;481;1688;276;1373;1978;1237;3215;1211;0;3961;2368;1894;1172;409;128;342;858;867
20251204;3145;527;480;1606;274;1342;2005;1192;3197;1183;0;4014;2236;1835;1186;405;137;383;949;904
20251205;1849;272;338;1028;205;936;1290;753;2043;827;0;2611;1543;1177;692;263;71;189;474;663
20251206;1567;438;296;986;178;852;1092;635;1727;691;0;1889;1155;823;893;205;201;233;605;600
20251207;1443;756;277;1326;187;685;1069;582;1651;612;0;1710;1274;683;1268;322;394;510;1105;562
20251208;1410;319;246;976;168;757;889;566;1455;682;0;1793;1082;766;623;218;101;165;412;425
20251209;3394;686;573;1879;291;1612;2144;1282;3426;1421;0;4294;2704;2035;1440;450;137;443;1112;936
20251210;3493;627;561;1938;270;1558;2110;1334;3444;1363;0;4215;2715;2045;1500;433;187;443;1109;966
20251211;3654;801;617;2106;316;1659;2303;1333;3636;1462;0;4614;2742;2160;1604;458;252;485;1216;1096
20251212;2698;525;494;1594;269;1334;1790;1063;2853;1172;0;3598;2138;1708;1081;366;121;307;776;957
20251213;1655;340;285;941;146;952;1156;646;1802;770;0;1998;1045;1006;642;200;95;190;499;682
20251214;1380;411;270;1005;188;623;1062;554;1616;552;0;1694;1056;723;831;256;183;285;616;552
20251215;2832;461;480;1453;199;1256;1746;979;2725;1103;0;3499;2060;1563;957;309;79;287;717;792
20251216;2977;550;452;1550;217;1315;1879;1167;3046;1160;0;3772;2174;1723;1068;349;96;313;779;774
20251217;3029;559;521;2275;226;1395;1901;1217;3118;1229;0;3817;2115;1694;1080;329;116;336;838;835
20251218;3070;479;484;2105;236;1300;1867;1048;2915;1148;0;3740;1955;1648;1075;367;98;302;758;847
20251219;2558;425;461;1959;226;1188;1596;944;2540;1046;0;3202;1815;1448;900;300;93;273;684;839
20251220;1372;359;312;1062;126;866;975;491;1466;699;0;1695;904;814;524;204;130;151;400;607
20251221;1224;322;220;849;109;460;806;401;1207;410;0;1279;775;561;587;137;120;174;370;423
20251222;2086;371;425;1763;154;1066;1285;802;2087;935;0;2573;1637;1247;809;299;78;233;579;656
20251223;1242;194;332;987;138;668;820;506;1326;593;0;1658;917;763;512;202;45;118;297;392
20251224;558;105;174;398;62;227;304;185;489;201;0;623;373;195;195;80;24;61;150;139
20251225;394;139;133;376;64;217;324;219;543;190;0;653;355;135;264;126;52;70;179;120
20251226;600;243;161;567;128;289;387;255;642;251;0;788;533;251;580;176;164;162;400;190
20251227;750;320;227;777;131;390;547;278;825;314;0;961;662;371;733;144;157;176;450;300
20251228;739;280;177;747;101;330;635;324;959;296;0;1010;685;309;607;126;133;209;440;278
20251229;1217;410;356;1153;167;646;744;441;1185;570;0;1510;1076;602;869;244;183;264;664;386
20251230;957;257;262;860;117;517;657;369;1026;454;0;1323;802;547;475;167;55;152;371;294
20251231;646;191;155;574;96;321;416;243;659;281;0;836;534;327;283;129;36;101;249;187
20240101;0;459;209;978;124;379;692;304;996;458;80;765;770;269;800;309;170;317;591;
20240102;0;372;401;1046;149;706;1017;539;1556;606;93;1600;1109;593;793;226;151;227;645;
20240103;0;873;463;1689;275;1026;1616;761;2377;877;233;2256;1646;863;1369;342;309;418;1175;
20240104;0;407;321;997;156;827;1089;703;1792;595;169;1908;990;692;643;219;107;221;506;
20240105;0;692;436;1363;277;908;1377;748;2125;740;169;2106;1441;760;977;310;239;322;896;
20240106;0;50;88;289;51;310;336;246;582;162;46;522;431;221;96;74;14;55;111;
20240107;0;123;116;399;53;376;381;289;670;194;65;698;508;266;178;94;22;78;103;
20240108;0;262;263;866;130;878;972;620;1592;422;80;1779;1074;738;430;211;41;170;366;
20240109;0;326;279;870;147;969;1030;665;1695;491;126;2073;1192;814;505;239;55;217;407;
20240110;0;349;315;1022;148;1063;1151;778;1929;497;121;2308;1269;890;602;239;63;230;470;
20240111;0;407;316;1068;172;1149;1362;868;2230;551;171;2413;1443;965;633;266;85;268;536;
20240112;0;345;338;982;150;1043;1212;718;1930;532;141;2130;1218;876;590;262;78;259;497;
20240113;0;360;192;639;109;769;817;484;1301;371;137;1158;835;530;433;149;89;185;377;
20240114;0;440;201;865;145;612;660;467;1127;405;146;1034;936;432;674;177;157;269;574;
20240115;0;505;377;1321;192;1294;1474;902;2376;664;190;2743;1640;1084;815;316;98;305;755;
20240116;0;561;394;1348;232;1343;1582;991;2573;704;178;2821;1686;1128;910;339;128;318;772;
20240117;0;471;386;1396;241;1378;1492;941;2433;652;161;2750;1606;1157;818;304;104;314;709;
20240118;0;374;250;1027;147;1100;1283;747;2030;573;158;2172;1285;923;585;255;108;231;493;
20240119;0;406;385;1144;184;1176;1405;837;2242;618;183;2447;1488;985;681;246;86;276;559;
20240120;0;456;257;860;131;874;938;575;1513;467;178;1341;934;599;770;195;186;251;755;
20240121;0;552;230;1014;165;677;931;483;1414;488;107;1155;1068;478;993;229;205;306;749;
20240122;0;480;361;902;205;1323;1560;907;2467;724;162;2758;1687;1111;847;295;124;255;757;
20240123;0;532;377;1310;201;1433;1764;1062;2826;709;197;3030;1710;1205;770;283;103;299;695;
20240124;0;547;381;1213;208;1450;1758;1041;2799;714;184;3005;1685;1213;820;272;115;331;731;
20240125;0;659;442;1620;231;1586;1998;1167;3165;863;211;3290;1947;1328;1115;343;141;392;949;
20240126;0;522;457;1302;202;1466;1844;1014;2858;702;204;2806;1620;1232;867;292;149;317;758;
20240127;0;512;287;955;157;906;1110;621;1731;554;171;1448;1063;628;579;172;148;213;675;
20240128;0;1088;290;1444;400;873;1161;577;1738;802;184;1387;1357;620;725;344;553;547;1485;
20240129;0;701;476;1645;286;1584;1890;1007;2897;908;202;3039;1933;1326;1076;356;208;376;1044;
20240130;0;752;482;1775;310;1682;2066;1123;3189;1005;198;3444;2219;1411;1241;399;203;443;1164;
20240131;0;633;497;1682;259;1748;1999;1113;3112;951;249;3187;2021;1468;1134;383;141;379;960;
20240201;0;415;451;1283;157;1465;1564;960;2524;727;166;2649;1701;1170;1115;262;92;291;626;
20240202;0;615;448;1435;232;1439;1632;909;2541;798;210;2598;1717;1147;1138;318;207;375;838;
20240203;0;776;312;1036;237;1048;1091;663;1754;578;240;1333;1077;639;825;241;224;346;863;
20240204;0;641;245;888;211;662;791;555;1346;479;125;1085;968;401;867;161;167;199;641;
20240205;0;445;407;1404;167;1119;1054;1159;2213;681;176;2415;1536;890;1016;290;168;288;637;
20240206;0;682;410;1610;256;1323;1298;1346;2644;777;249;2698;1823;1055;1208;310;190;299;893;
20240207;0;642;416;1655;244;1419;1281;1367;2648;814;240;2906;1815;1133;1203;334;216;368;871;
20240208;0;532;472;1594;200;1282;1209;1323;2532;852;217;2734;1682;1026;1121;319;174;347;819;
20240209;0;833;477;1559;316;1185;1332;1236;2568;889;219;2379;1594;947;1073;320;324;372;1111;
20240210;0;1572;420;1803;484;1191;1404;746;2150;1042;286;1553;1607;725;1222;389;744;613;1900;
20240211;0;227;176;676;72;616;686;442;1128;345;130;1127;803;374;717;145;47;128;257;
20240212;0;951;611;2133;362;1797;2168;1278;3446;1225;273;3600;2386;1431;1553;482;291;476;1380;
20240213;0;853;654;2092;319;1904;2240;1361;3601;1139;283;3478;2304;1519;1597;452;226;525;1336;
20240214;0;990;688;2280;374;1917;2417;1339;3756;1259;336;3775;2484;1530;1747;521;335;567;1494;
20240215;0;871;572;2066;334;1820;2227;1256;3483;1162;291;3494;2238;1451;1449;450;281;483;1257;
20240216;0;1327;720;2446;508;1870;2496;1366;3862;1301;370;3257;2467;1493;2067;546;434;645;1884;
20240217;0;392;237;877;117;950;1062;680;1742;495;189;1338;1044;581;673;207;123;253;592;
20240218;0;1826;576;2688;594;1246;1728;807;2535;1168;347;1745;2107;759;2859;541;909;870;2600;
20240219;0;544;474;1642;205;1452;1767;1133;2900;820;177;2929;1887;1159;1055;318;115;349;790;
20240220;0;839;643;2009;317;1919;2295;1365;3660;1121;273;3610;2437;1531;1573;418;236;510;1266;
20240221;0;1040;733;2398;395;2023;2477;1399;3876;1334;293;3839;2627;1613;1844;484;309;579;1572;
20240222;0;787;633;2056;300;1952;2254;1347;3601;1130;262;3562;2407;1558;1454;451;263;513;1283;
20240223;0;312;373;1178;117;1267;1353;809;2162;689;176;2217;1533;1011;617;222;83;276;475;
20240224;0;1229;423;1552;383;1254;1622;844;2466;940;274;1731;1467;765;1551;324;447;503;1527;
20240225;0;1589;468;2010;519;1108;1478;759;2237;979;237;1588;1713;672;2095;435;695;621;1935;
20240226;0;1162;730;2434;443;1995;2555;1394;3949;1351;294;3896;2729;1594;1935;518;343;619;1669;
20240227;0;1092;777;2558;416;2142;2586;1554;4140;1409;300;4191;2951;1709;1979;507;347;621;1779;
20240228;0;1061;844;2527;403;2163;2715;1552;4267;1424;332;4129;2787;1725;1944;556;372;646;1609;
20240229;0;1311;807;2781;499;2123;2926;1567;4493;1563;361;4254;3008;1692;2203;648;488;705;1880;
20240301;0;539;562;1624;293;1681;1946;1048;2994;929;231;2954;1850;1181;1046;375;131;418;919;
20240302;0;1086;352;1537;299;1579;1677;868;2545;857;271;1778;1427;796;1292;331;320;428;1156;
20240303;0;1942;763;4131;459;1797;2636;1076;3712;1615;448;2233;3069;853;4877;785;1431;1591;4103;
20240304;0;1484;993;3393;561;2646;3337;1818;5155;1799;410;4711;3490;1857;3135;762;798;957;2592;
20240305;0;1301;823;2957;494;2775;3322;1871;5193;1574;442;4801;3255;1946;2239;622;335;632;1835;
20240306;0;1320;888;2813;503;2667;3357;1947;5304;1601;458;4995;3268;1870;2233;619;426;714;2043;
20240307;0;921;609;2056;347;2240;2606;1514;4120;1118;370;4205;2534;1572;1384;467;213;479;1186;
20240308;0;775;577;1672;295;1858;2060;1133;3193;942;294;3372;1984;1304;1077;363;164;429;1001;
20240309;0;880;348;1003;243;1655;1312;694;2006;685;215;1752;1182;832;867;244;165;268;900;
20240310;0;1092;350;1633;253;1419;1418;823;2241;908;239;1672;1503;676;1408;354;352;474;1435;
20240311;0;682;540;1456;260;1560;1657;1163;2820;840;210;2714;1908;1094;1119;353;166;351;1037;
20240312;0;383;271;916;147;1125;1094;784;1878;460;134;1933;1205;786;524;193;55;195;388;
20240313;0;1149;748;2578;438;2583;3113;2192;5305;1397;348;4446;3023;1810;1967;559;397;661;1721;
20240314;0;1273;896;3077;484;2631;3405;2396;5801;1541;405;4951;3503;1846;2449;710;544;715;2143;
20240315;0;1391;912;3130;530;2019;3247;2268;5515;1688;442;4239;3253;1769;2691;682;639;814;2271;
20240316;0;1711;560;2568;469;1387;2588;2119;4707;1337;458;2495;2362;1129;2513;547;573;867;2127;
20240317;0;1756;555;2946;414;1279;2496;1697;4193;1464;395;2216;2628;881;3170;655;817;1020;2984;
20240318;0;1335;755;2889;511;2122;3239;2282;5521;1625;411;4657;3324;1898;2297;671;386;709;1930;
20240319;0;1241;767;2945;473;2046;3345;2355;5700;1502;359;4883;3279;1980;2202;625;360;687;1817;
20240320;0;1412;847;3047;538;2174;3530;2482;6012;1717;458;5066;3462;2082;2581;743;520;753;2249;
20240321;0;1352;828;3541;511;2121;3563;2508;6071;1635;461;4948;3390;2025;2287;665;396;733;2139;
20240322;0;1245;920;3563;474;1915;3014;2124;5138;1510;403;4162;2979;1627;2293;653;501;694;2079;
20240323;0;1430;460;3392;393;1092;1772;1457;3229;1113;336;1828;1723;865;2113;448;643;624;2243;
20240324;0;1009;428;3003;240;872;1441;988;2429;843;307;1676;1626;623;1767;385;336;547;1452;
20240325;0;945;626;2636;359;1583;2481;1731;4212;1156;410;3608;2512;1400;1679;433;286;521;1323;
20240326;0;1065;651;2872;406;1670;2690;1897;4587;1293;365;3867;2696;1533;1846;451;314;535;1530;
20240327;0;1135;650;3135;428;1650;1970;1325;3295;1378;398;3857;2682;1439;2011;455;368;516;1566;
20240328;0;1080;685;3202;408;1513;1688;1127;2815;1310;342;3287;2375;1192;2075;492;414;620;1684;
20240329;0;1302;759;4620;497;1680;1829;1220;3049;1579;455;2894;2634;1131;3015;636;740;934;2410;
20240330;0;1675;555;4072;458;1073;1382;1055;2437;1310;427;1929;1847;666;2530;482;679;762;2087;
20240331;0;1392;450;1793;329;889;1274;823;2097;1161;376;1534;1793;453;2463;432;607;751;1874;
20240401;0;1607;509;2919;633;981;1238;857;2095;1343;433;1696;2173;633;2948;537;711;855;2123;
20240402;0;1194;751;2751;422;1729;1749;1315;3064;1456;371;4025;3123;1616;2014;527;274;594;1558;
20240403;0;1679;1048;4862;592;2383;2601;1964;4565;2036;485;5263;4048;2057;3551;815;829;966;2855;
20240404;0;1318;921;3886;467;2028;2411;1827;4238;1605;472;4750;3667;1837;2840;684;511;806;2309;
20240405;0;1743;1158;4994;619;2448;2747;2080;4827;2117;613;4864;4155;1986;3648;856;888;1187;2976;
20240406;0;2708;1004;8825;530;1918;2920;2093;5013;2108;806;3599;4682;1541;6441;1137;1953;2331;4953;
20240407;0;2998;1243;10676;710;1816;3234;2228;5462;2500;859;3713;6451;1460;10829;1884;3138;4049;7404;
20240408;0;2016;1316;6104;707;2885;5086;3627;8713;2440;620;6407;5178;2560;4457;1090;835;1316;3516;
20240409;0;2158;1441;6972;757;3020;5535;3947;9482;2615;675;7170;5529;2767;5093;1145;1073;1491;4025;
20240410;0;1125;735;2757;396;2073;3566;2543;6109;1367;439;5459;3340;2140;2012;529;285;590;1423;
20240411;0;1927;1214;5515;678;2754;5192;3702;8894;2336;646;6563;4878;2619;4024;980;883;1268;3364;
20240412;0;1936;1186;6296;683;2739;4795;3420;8215;2346;788;5787;4958;2440;4597;1110;1191;1586;3734;
20240413;0;2967;1185;9904;579;2108;5038;3355;8393;2306;870;4100;5464;1797;7225;1146;2146;2784;5308;
20240414;0;3056;1385;8932;720;1994;4893;2881;7774;2540;895;4129;6315;1971;9052;1488;2439;3524;6236;
20240415;0;1092;821;2617;383;1790;2913;2077;4990;1328;309;4323;3019;1749;1911;481;341;570;1572;
20240416;0;667;494;1321;234;1276;1938;1382;3320;812;249;3446;2290;1455;965;333;125;300;867;
20240417;0;1077;761;2717;377;1767;2875;2050;4925;1312;312;4883;3226;1950;1987;566;284;574;1588;
20240418;0;1090;767;3042;382;1895;3208;2287;5495;1324;366;5193;3357;2044;2221;542;347;619;1826;
20240419;0;1087;769;2544;381;1751;2658;1895;4553;1316;343;4152;3057;1781;1858;503;328;595;1453;
20240420;0;529;259;817;106;768;1152;767;1919;416;168;1502;1073;697;605;171;115;188;483;
20240421;0;913;439;1780;216;1183;1514;892;2406;763;394;2057;2262;982;1790;421;528;620;1699;
20240422;0;1083;649;2662;381;1724;2766;1972;4738;1317;246;4400;2830;1846;1946;481;283;470;1432;
20240423;0;523;440;1128;184;1074;1699;1211;2910;632;186;3049;1844;1299;824;277;98;253;597;
20240424;0;503;387;1174;195;1021;1709;1219;2928;674;193;2960;1751;1266;860;264;128;232;587;
20240425;0;1035;742;2871;385;1904;3321;2368;5689;1327;365;4764;3418;1992;2098;586;365;676;1795;
20240426;0;1546;877;3884;493;2107;3574;2549;6123;1706;614;4866;3572;1975;2838;737;637;945;2426;
20240427;0;2815;914;6372;499;1884;3435;2288;5723;1990;655;3246;3832;1120;4654;833;1429;1741;3683;
20240428;0;3460;1081;6705;667;1756;3706;2182;5888;2338;663;3333;4733;1402;6797;1295;2009;2388;5504;
20240429;0;2141;1290;6605;727;2711;5093;3632;8725;2498;605;6505;5351;2573;4821;1016;980;1482;3462;
20240430;0;2237;1413;7189;726;2967;5926;4226;10152;2490;729;7113;5724;2925;5249;1162;1100;1600;3815;
20240501;0;1938;1074;5191;859;1886;4378;2595;6973;2134;662;3744;5067;1473;7544;1113;1427;2085;4378;
20240502;0;1222;1004;3874;567;2406;4380;2882;7262;1894;528;5896;4163;2123;3220;772;528;958;2409;
20240503;0;636;578;1880;246;1264;2241;1475;3716;829;244;3017;2017;1162;1100;374;129;348;765;
20240504;0;3270;948;4104;662;2145;4105;2513;6618;1957;637;3392;4291;1593;5223;986;1396;1661;3749;
20240505;0;4637;1079;5161;1007;1898;4007;2375;6382;2491;643;3486;5039;1299;7078;1282;2372;2374;5354;
20240506;0;2121;1227;4751;681;2584;4915;3235;8150;2280;562;6140;5104;2234;4303;892;933;1177;3160;
20240507;0;1326;908;3623;531;2314;4325;2846;7171;1782;428;5886;3885;1968;2488;644;343;689;1846;
20240508;0;828;638;2458;320;1609;2839;1869;4708;1067;312;4052;2639;1321;1425;447;209;438;1071;
20240509;0;4768;1107;4977;999;1886;4264;2527;6791;2482;710;3384;4865;1294;7048;1436;2173;2498;5410;
20240510;0;2569;1205;3925;627;2267;4441;2923;7364;2094;647;4631;4226;1477;4089;899;1123;1416;2965;
20240511;0;3337;961;3852;660;1861;3899;2387;6286;1943;683;3154;4062;1219;5208;906;1544;1763;3839;
20240512;0;3645;1103;4508;818;1682;3661;2170;5831;2015;682;3135;4412;1040;6310;1171;1793;1913;4410;
20240513;0;2349;1211;4721;728;2828;4996;3289;8285;2432;634;6529;5070;2098;3855;955;720;1155;3076;
20240514;0;2918;1375;5517;820;2933;6003;3950;9953;2747;672;7361;5928;2403;5171;1200;1101;1604;4162;
20240515;0;2701;1326;5311;786;2935;5830;3837;9667;2620;665;7289;5699;2159;4755;1193;1012;1397;3873;
20240516;0;1556;903;3582;496;2284;4066;2676;6742;1645;457;5817;3845;1888;2598;639;350;715;1949;
20240517;0;468;392;1782;194;1029;1752;1153;2905;662;260;2809;1930;943;684;323;93;225;505;
20240518;0;2635;808;3037;568;1702;3324;2035;5359;1672;578;2824;3197;996;4040;807;1066;1132;2978;
20240519;0;4150;1135;5543;1003;1826;3903;2313;6216;2466;729;3207;5458;959;8036;1358;2564;2791;5414;
20240520;0;4306;1299;5836;943;1856;4083;2420;6503;2347;748;3517;5717;1099;7797;1410;2531;2752;5621;
20240521;0;832;714;2679;337;1639;3014;1984;4998;1116;346;4285;2877;1350;1566;481;239;509;1114;
20240522;0;2002;1062;4289;641;2517;4687;3085;7772;2132;552;6141;4609;1916;3624;875;642;997;2740;
20240523;0;2999;1260;5379;758;2981;5767;3796;9563;2546;652;7146;5780;2194;4834;1163;1157;1538;3752;
20240524;0;1474;794;3046;406;1765;3298;2170;5468;1354;367;4233;3274;1410;2081;580;387;653;1639;
20240525;0;1353;523;2105;365;1369;2297;1406;3703;1081;310;2256;2205;990;2097;479;385;562;1458;
20240526;0;3436;874;4281;779;1572;3552;2106;5658;1931;605;3019;4179;1044;5147;1019;1437;1627;4149;
20240527;0;2908;1297;5585;776;2986;5506;3624;9130;2596;620;6882;5995;2112;5443;1139;1220;1519;3976;
20240528;0;2136;1198;4922;617;2765;5029;3310;8339;2068;588;6671;5288;2046;4123;964;611;1119;2976;
20240529;0;2826;1371;5275;742;2916;5582;3673;9255;2466;694;6872;5674;2063;5005;1142;1164;1530;3708;
20240530;0;4067;1064;4076;844;1599;3305;1958;5263;2082;521;3050;3980;925;6138;1094;1943;1716;4667;
20240531;0;867;508;1772;235;1101;1919;1262;3181;798;262;2600;1923;737;1142;305;200;356;802;
20240601;0;1541;547;1985;356;1262;2469;1467;3936;1036;371;2339;2084;761;3288;498;508;648;1719;
20240602;0;3129;1040;3701;728;1500;3179;1773;4952;1917;504;3019;3620;920;8260;1022;1405;1472;4149;
20240603;0;1200;859;3015;478;1618;2838;1807;4645;1369;333;4028;3244;1348;3767;523;389;626;1457;
20240604;0;2070;954;4295;597;2365;4089;2602;6691;1842;455;5694;4609;1816;5368;768;730;977;2480;
20240605;0;3506;1458;6326;1051;3110;6005;3822;9827;2923;762;7358;6799;2230;10425;1403;1669;1961;4879;
