C-SDB_TIT-0;C-W96-0;C-C93-2;F-ANK;F-UEB
201803;W96-9;23;3223;7942
201803;W96-9;51;2859;5308
201803;W96-9;88;542;1416
201803;W96-9;89;588;1454
201803;W96-9;63;788;1874
201803;W96-9;90;636;1770
201803;W96-9;61;258;640
201803;W96-9;25;7421;17538
201803;W96-9;26;1913;5307
201803;W96-9;27;6278;12678
201803;W96-9;28;2963;7893
201803;W96-9;29;8616;19964
201803;W96-9;91;13822;37466
201803;W96-9;95;869;2647
201803;W96-9;31;3084;7764
201803;W96-9;32;12799;29217
201803;W96-9;10;2739;5451
201803;W96-9;52;2414;5054
201803;W96-9;33;12633;29923
201803;W96-9;34;491;1360
201803;W96-9;17;2934;6795
201803;W96-9;64;7428;12088
201803;W96-9;59;6834;12380
201803;W96-9;65;7010;11101
201803;W96-9;09;7034;12102
201803;W96-9;36;4380;10111
201803;W96-9;92;4852;11012
201803;W96-9;38;8916;16419
201803;W96-9;39;21323;50921
201803;W96-9;96;3307;6418
201803;W96-9;16;21569;50608
201803;W96-9;93;365;811
201803;W96-9;57;2982;6877
201803;W96-9;58;3922;10006
201803;W96-9;37;5665;13197
201803;W96-9;40;3659;8833
201804;W96-9;01;7990;16540
201804;W96-9;70;8691;16047
201804;W96-9;71;16722;31127
201804;W96-9;72;14807;25186
201804;W96-9;73;27015;44950
201804;W96-9;74;18886;34495
201804;W96-9;75;27019;48182
201804;W96-9;76;17470;33355
201804;W96-9;77;9162;18616
201804;W96-9;80;31951;75120
201804;W96-9;81;15010;38268
201804;W96-9;82;16688;42353
201804;W96-9;83;15518;38863
201804;W96-9;84;14141;34801
201804;W96-9;85;12374;30815
201804;W96-9;53;11294;26797
201804;W96-9;56;3553;7921
201804;W96-9;60;3441;9318
201804;W96-9;62;5308;13347
201804;W96-9;94;4196;10444
201804;W96-9;08;3450;7392
201804;W96-9;67;16953;31615
201804;W96-9;11;2363;5830
201804;W96-9;86;934;2373
201804;W96-9;13;5002;12017
201804;W96-9;14;16787;45735
201804;W96-9;15;3262;7864
201804;W96-9;87;2542;6048
201804;W96-9;18;2257;4976
201804;W96-9;49;279;752
201804;W96-9;19;5865;15778
201804;W96-9;20;28391;73722
201804;W96-9;21;8296;18283
201804;W96-9;22;8818;18693
201804;W96-9;23;4257;11265
201804;W96-9;51;3595;6980
201804;W96-9;88;600;1328
201804;W96-9;89;716;1550
201804;W96-9;63;1223;3263
201804;W96-9;90;450;1335
201804;W96-9;61;501;1180
201804;W96-9;25;10164;24557
201804;W96-9;26;2465;6287
201804;W96-9;27;10728;20845
201804;W96-9;28;2615;6480
201804;W96-9;29;10479;23267
201804;W96-9;91;16548;42773
201804;W96-9;95;1382;3527
201804;W96-9;31;5186;13103
201804;W96-9;32;19190;50347
201804;W96-9;10;3064;5432
201804;W96-9;52;3825;7541
201804;W96-9;33;14234;32460
201804;W96-9;34;719;1776
201804;W96-9;17;4147;9165
201804;W96-9;64;9127;15066
201804;W96-9;59;8752;16069
201804;W96-9;65;6826;11350
201804;W96-9;09;7831;13786
201804;W96-9;36;6156;13790
201804;W96-9;92;5206;11276
201804;W96-9;38;8032;14331
201804;W96-9;39;28575;65840
201804;W96-9;96;3417;6738
201804;W96-9;16;24464;59830
201804;W96-9;93;517;1474
201804;W96-9;57;3235;7176
201804;W96-9;58;3269;7069
201804;W96-9;37;6314;14798
201804;W96-9;40;3805;9129
201805;W96-9;01;8280;16279
201805;W96-9;70;8519;15390
201805;W96-9;71;16923;30819
201805;W96-9;72;15862;27153
201805;W96-9;73;26728;44451
201805;W96-9;74;18586;33277
201805;W96-9;75;26332;46492
201805;W96-9;76;17835;34035
201805;W96-9;77;9484;18880
201805;W96-9;80;36597;86575
201805;W96-9;81;18325;48509
201805;W96-9;82;20778;53810
201805;W96-9;83;18265;45422
201805;W96-9;84;15781;41047
201805;W96-9;85;14147;35741
201805;W96-9;53;13619;31941
201805;W96-9;56;3474;7138
201805;W96-9;60;5137;13048
201805;W96-9;62;4808;11847
201805;W96-9;94;6068;14591
201805;W96-9;08;3717;8247
201805;W96-9;67;24013;40574
201805;W96-9;11;2861;7044
201805;W96-9;86;865;1910
201805;W96-9;13;3614;8703
201805;W96-9;14;16845;45145
201805;W96-9;15;2246;5552
201805;W96-9;87;3062;6910
201805;W96-9;18;2205;5292
201805;W96-9;49;277;707
201805;W96-9;19;5630;13996
201805;W96-9;20;16692;36036
201805;W96-9;21;12120;24899
201805;W96-9;22;6293;13292
201805;W96-9;23;6483;15871
201805;W96-9;51;3275;5631
201805;W96-9;88;596;1321
201805;W96-9;89;644;1481
201805;W96-9;63;1128;2929
201805;W96-9;90;462;1284
201805;W96-9;61;820;1983
201805;W96-9;25;12194;30005
201805;W96-9;26;2395;6233
201805;W96-9;27;12665;26201
201805;W96-9;28;2056;4576
201805;W96-9;29;8720;19434
201805;W96-9;91;15032;39150
201805;W96-9;95;989;2246
201805;W96-9;31;4977;12217
201805;W96-9;32;19375;48033
201805;W96-9;10;2870;4917
201805;W96-9;52;3101;5939
201805;W96-9;33;14741;31923
201805;W96-9;34;789;1921
201805;W96-9;17;9266;19407
201805;W96-9;64;11239;19356
201805;W96-9;59;9429;20341
201805;W96-9;65;6751;10978
201805;W96-9;09;9047;15639
201805;W96-9;36;4945;11404
201805;W96-9;92;5638;12972
201805;W96-9;38;6882;12318
201805;W96-9;39;42615;98135
201805;W96-9;96;3023;5410
201805;W96-9;16;26508;61220
201805;W96-9;93;394;936
201805;W96-9;57;2507;5948
201805;W96-9;58;2749;5781
201805;W96-9;37;9666;22587
201805;W96-9;40;3427;8122
201806;W96-9;01;8924;18572
201806;W96-9;70;10191;18857
201806;W96-9;71;17410;33829
201806;W96-9;72;16033;28637
201806;W96-9;73;27386;49768
201806;W96-9;74;20220;37782
201806;W96-9;75;26193;49065
201806;W96-9;76;18571;37129
201806;W96-9;77;10385;22066
201806;W96-9;80;29268;68174
201806;W96-9;81;14361;35859
201806;W96-9;82;17209;43543
201806;W96-9;83;16216;39214
201806;W96-9;84;13977;34453
201806;W96-9;85;12227;29295
201806;W96-9;53;11829;27077
201806;W96-9;56;4384;10144
201806;W96-9;60;7218;17191
201806;W96-9;62;4476;10368
201806;W96-9;94;5370;13495
201806;W96-9;08;2696;6049
201806;W96-9;67;30421;53989
201806;W96-9;11;2326;5310
201806;W96-9;86;845;1792
201806;W96-9;13;4249;10681
201806;W96-9;14;14593;37708
201806;W96-9;15;2007;4560
201806;W96-9;87;2735;6176
201806;W96-9;18;2368;5420
201806;W96-9;49;490;1404
201806;W96-9;19;6333;17509
201806;W96-9;20;16222;38278
201806;W96-9;21;13408;28560
201806;W96-9;22;4980;9845
201806;W96-9;23;6368;16261
201806;W96-9;51;2982;5712
201806;W96-9;88;582;1065
201806;W96-9;89;875;1721
201806;W96-9;63;950;2258
201806;W96-9;90;488;1246
201806;W96-9;61;1108;2784
201806;W96-9;25;10218;24783
201806;W96-9;26;2581;5658
201806;W96-9;27;10931;20894
201806;W96-9;28;2100;4955
201806;W96-9;29;9520;21176
201806;W96-9;91;13614;31371
201806;W96-9;95;2869;7140
201806;W96-9;31;4215;9859
201806;W96-9;32;15655;37435
201806;W96-9;10;2963;4990
201806;W96-9;52;2755;5684
201806;W96-9;33;16142;35172
201806;W96-9;34;1205;3068
201806;W96-9;17;10725;23647
201806;W96-9;64;12065;21538
201806;W96-9;59;9271;17734
201806;W96-9;65;8256;13823
201806;W96-9;09;8173;13703
201806;W96-9;36;4461;9889
201806;W96-9;92;5834;12988
201806;W96-9;38;6874;12466
201806;W96-9;39;52452;118709
201806;W96-9;96;3737;7326
201806;W96-9;16;28157;64534
201806;W96-9;93;573;1387
201806;W96-9;57;2783;7002
201806;W96-9;58;4446;9454
201806;W96-9;37;9570;22102
201806;W96-9;40;3692;8062
201807;W96-9;01;7516;15608
201807;W96-9;70;7870;14622
201807;W96-9;71;13541;25327
201807;W96-9;72;13279;23981
201807;W96-9;73;21798;39046
201807;W96-9;74;14986;26999
201807;W96-9;75;21555;39162
201807;W96-9;76;14208;27978
201807;W96-9;77;7972;16483
201807;W96-9;80;27665;63517
201807;W96-9;81;15609;40102
201807;W96-9;82;18555;45179
